PO Number,Document Date,Posting Date,Material Code,Material Description,Short Text,Supplier Name,Order Quantity,Unit of Measure,Net Price,Currency,Subtotal Raw,FX Rate to INR,Total INR,Total In Crs,Material Group,Plant,Fiscal Year
PO-2023-450001,2023-01-15,2023-01-15,MAT-10101,High Density Polyethylene (HDPE) Polymers,High Density Polyethylene (HDPE) Polymers,Contoso Polymer Logistics Ltd,5,MT,1200,EUR,6000,92.4,554400,0.0554,POLYMERS,1000,FY24
PO-2023-450002,2023-02-15,2023-02-15,MAT-10102,Polypropylene (PP) Injection Moulding Resin,Polypropylene (PP) Injection Moulding Resin,Basell Polyolefins Europe NV,7,MT,1121,EUR,7847,92.4,725063,0.0725,POLYMERS,1010,FY24
PO-2023-450003,2023-03-15,2023-03-15,MAT-10103,Linear Low-Density Polyethylene (LLDPE) Film Grade,Linear Low-Density Polyethylene (LLDPE) Film Grade,3M Safety & Industrial PPE Ltd,9,MT,1191,USD,10719,85.5,916475,0.0916,POLYMERS,1020,FY24
PO-2023-450004,2023-04-15,2023-04-15,MAT-10201,Hydrochloric Acid 33% Industrial Grade,Hydrochloric Acid 33% Industrial Grade,Dow Chemical Americas Inc,25,KL,131,USD,3275,85.5,280013,0.028,CHEMICAL,2000,FY24
PO-2023-450005,2023-05-15,2023-05-15,MAT-10202,Caustic Soda Lye 48% Bulk Solution,Caustic Soda Lye 48% Bulk Solution,Pidilite Industrial Adhesives Ltd,13,MT,306,INR,3978,1,3978,0.0004,CHEMICAL,3000,FY24
PO-2023-450006,2023-06-15,2023-06-15,MAT-10203,Titanium Dioxide Rutile White Pigment,Titanium Dioxide Rutile White Pigment,BASF Speciality Chemicals SE,400,KG,2376,EUR,950400,92.4,87816960,8.7817,CHEMICAL,1000,FY24
PO-2023-450007,2023-07-15,2023-07-15,MAT-10204,Sulfuric Acid 98% Commercial Grade,Sulfuric Acid 98% Commercial Grade,UPL Agro & Bulk Chemical Corp,17,MT,104,INR,1768,1,1768,0.0002,CHEMICAL,1010,FY24
PO-2023-450008,2023-08-15,2023-08-15,MAT-10104,Polyvinyl Chloride (PVC) Suspension Resin,Polyvinyl Chloride (PVC) Suspension Resin,SABIC Petrochemical Middle East,19,MT,1094,USD,20786,85.5,1777203,0.1777,POLYMERS,1020,FY24
PO-2023-450009,2023-09-15,2023-09-15,MAT-10205,Industrial Synthetic Adhesives & Sealants,Industrial Synthetic Adhesives & Sealants,Borealis Chemical Supply GmbH,550,KG,430,EUR,236500,92.4,21852600,2.1853,CHEMICAL,2000,FY24
PO-2023-450010,2023-10-15,2023-10-15,PKG-20101,5-Ply Corrugated Heavy Duty Shipping Boxes,5-Ply Corrugated Heavy Duty Shipping Boxes,TCPL Packaging Containers,1400,BOX,51,INR,71400,1,71400,0.0071,PACKAGING,3000,FY24
PO-2023-450011,2023-11-15,2023-11-15,PKG-20102,Printed Multi-Layer Flexible Packaging Laminates,Printed Multi-Layer Flexible Packaging Laminates,Parksons Packaging Solutions,650,KG,273,INR,177450,1,177450,0.0177,PACKAGING,1000,FY24
PO-2023-450012,2023-12-15,2023-12-15,PKG-20103,Mono Carton Packaging Printed Paperboard,Mono Carton Packaging Printed Paperboard,Universal Corrugators Pvt Ltd,1600,PCS,14,INR,22400,1,22400,0.0022,PACKAGING,1010,FY24
PO-2024-450013,2024-01-15,2024-01-15,PKG-20104,Automatic Stretch Film Wrapping Rolls 23 Microns,Automatic Stretch Film Wrapping Rolls 23 Microns,3M Safety & Industrial PPE Ltd,70,ROLL,202,USD,14140,85.5,1208970,0.1209,PACKAGING,1020,FY25
PO-2024-450014,2024-02-15,2024-02-15,PKG-20105,Polypropylene Heavy Duty Strapping Bands,Polypropylene Heavy Duty Strapping Bands,Signode Industrial Packaging Ltd,75,ROLL,1118,INR,83850,1,83850,0.0084,PACKAGING,2000,FY25
PO-2024-450015,2024-03-15,2024-03-15,PKG-20106,Laminated Barrier Tubes for Specialty Liquids,Laminated Barrier Tubes for Specialty Liquids,Huhtamaki Flexible Packaging Ltd,1900,PCS,25,INR,47500,1,47500,0.0047,PACKAGING,3000,FY25
PO-2024-450016,2024-04-15,2024-04-15,PKG-20107,HDPE Plastic Drums 200 Litres Capacity,HDPE Plastic Drums 200 Litres Capacity,Essel Propack Laminated Tubes,5,DRUM,1779,INR,8895,1,8895,0.0009,PACKAGING,1000,FY25
PO-2024-450017,2024-05-15,2024-05-15,FRT-30101,Road FTL 32-Foot Multi-Axle Container Trucking,Road FTL 32-Foot Multi-Axle Container Trucking,Blue Dart Express Domestic Freight,5,TRIP,82647,INR,413235,1,413235,0.0413,FREIGHT,1010,FY25
PO-2024-450018,2024-06-15,2024-06-15,FRT-30102,40ft High Cube Ocean Freight Container Shipping,40ft High Cube Ocean Freight Container Shipping,TCI Freight Transport Logistics,6,CONT,1800,INR,10800,1,10800,0.0011,FREIGHT,1020,FY25
